"code","date","age","province","country","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q2_7","q2_8","q2_9","q2_10","q2_11","q2_12","q2_13","q2_14","q2_15","q2_16","q2_17_V","q2_17","q2_18_V","q2_18","translated"
"i1","17/01/2023","41","Hochiminh city","Vietnam","4","4","4","4","5","5","4","4","5","5","4","4","4","4","4","5","5","5","5","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i2","06/03/2023","41","Hochiminh city","Vietnam","4","4","4","5","5","5","5","5","5","4","4","4","4","4","5","4","5","4","5","more than 5","mathematics","yes","yes","yes","yes","yes","Chức năng hiển thị lộ trình học tập trong hình 1 và hình 2 giúp người học xây dựng và chọn lộ trình học tập phù hợp với năng lực cá nhân.","The system function to show the learning path, as in Figure 1 and Figure 2, helps learners build and choose a learning path suitable for their abilities.","Chức năng hiển thị mức độ đáp ứng các chuẩn đầu ra như hình 3 là rõ ràng, giúp người dạy và người học hiển rõ hơn về tình trạng của môn học đã dạy, đã học.","The function of displaying the level of response to the output outcomes, as shown in Figure 3, is clear, helping learners and teachers better understand the status of the subject studied or taught.","yes"
"i3","15/01/2023","46","Hochiminh city","Vietnam","4","4","4","4","5","5","5","5","4","5","4","4","4","4","4","4","3","4","4","more than 5","computer science","yes","yes","yes","yes","no","","no","","no","no"
"i4","03/03/2023","","Hochiminh city","Vietnam","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i5","28/02/2023","41","Hochiminh city","Vietnam","5","5","4","4","5","5","5","4","5","5","4","4","4","4","4","4","5","5","5","more than 5","mathematics","yes","yes","yes","yes","yes","","no","","no","no"
"i6","15/01/2023","49","Hochiminh city","Vietnam","4","4","4","3","5","4","4","5","5","4","5","4","3","4","4","4","5","4","4","more than 5","computer science","yes","yes","yes","yes","yes","","Agree with the system","","Agree with the system","no"
"i7","15/01/2023","40","Hochiminh city","Vietnam","5","5","2","5","5","4","5","4","5","5","4","2","4","4","3","5","3","3","4","more than 5","computer science","yes","yes","yes","yes","no","Nên hiển thị thêm lộ trình mẫu (của toàn bộ khóa học) bên cạnh lộ trình tùy chỉnh của người học","It is recommended to display the sample learning path (overview of the whole course) beside each learner's custom path.","Hiển thị dưới dạng đồ thị","Display as a graph","yes"
"i8","12/01/2023","41","Hochiminh city","Vietnam","4","4","5","4","5","5","4","4","4","4","5","4","4","5","5","5","5","4","5","more than 5","mathematics","yes","yes","yes","yes","yes","Tôi nhận thấy hệ thống giúp người học dễ theo dõi và tự điều chỉnh lộ trình học tập của chính mình","I find that the system makes it easy for learners to follow and self-regulate their learning path","Hệ thống có những tính năng mới giúp người dạy và người học phát hiện những kỹ năng, kiến thức còn yếu, cần tập trung phát triển","The system has new features to help learners and teachers discover weak skills and knowledge that need development.","yes"
"i9","13/01/2023","43","Hochiminh city","Vietnam","5","5","4","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i10","17/01/2023","45","Hochiminh city","Vietnam","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i11","13/01/2023","49","Hochiminh city","Vietnam","4","5","4","4","5","5","5","5","4","4","5","5","5","4","5","4","5","4","5","more than 5","computer science","yes","yes","yes","yes","yes","","It is very helpful for teaching and learning","","I think it is enough for me","no"
"i12","03/03/2023","41","Hochiminh city","Vietnam","5","5","4","4","5","5","4","3","5","5","5","5","4","4","4","5","5","4","4","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i13","27/02/2023","40","Hochiminh city","Vietnam","5","5","5","4","4","5","4","5","5","5","5","5","5","3","4","5","5","5","4","more than 5","computer science","yes","yes","yes","yes","yes","","no","","no","no"
"i14","08/03/2023","66","Hochiminh city","Vietnam","5","5","5","3","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","more than 5","mathematics","yes","yes","yes","yes","yes","Hệ thống có nhiều chức năng mới và nhiều lựa chọn giúp cho người dạy và người học cải tiến được công việc dạy và học tập của mình. Theo tôi, hệ thống này rất hữu ích cho người dạy và người học. Các lý thuyết để xây dựng hệ thống là dễ hiểu.","The system has many new functions and many options to help teachers and learners improve their teaching and learning experiments. In my opinion, this system is very useful for teachers and learners. The theory to build the system is easy to understand.","Chức năng hiển thị mức độ đáp ứng các chuẩn đầu ra dễ sử dụng, phù hợp với công việc giảng dạy và học tập. Hệ thống có giao diện thân thiện, màu sắc phù hợp.","The function of displaying the level of achievement learning outcomes is easy to use and suitable for teaching and learning activities. The system has a friendly interface, suitable colors.","yes"
