code,date,age,province,country,1_q1,1_q2,1_q3,1_q4,1_q5,1_q6,1_q7,1_q8,1_q9,1_q10,2_p2_1,2_p2_2,2_p2_3,2_p2_4,2_p2_5,2_p2_6,2_p2_7,2_p2_8,2_p2_9,2_p3_10,2_p3_11,2_p3_12,2_p3_13,2_p3_14,2_p3_15,2_p3_16,2_p3_17,2_p3_18v,2_p3_18e,2_p3_19v,2_p3_19e,2_p3_20v,2_p3_20e,translated
s4,06/02/2023,20,Hochiminh city,Vietnam,5,4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,4,2,Fulltime student,18-25,1,4,"Nh?p môn l?p trình, Ti?ng Anh h?i nh?p qu?c t? 1, Ti?ng Anh h?i nh?p qu?c t? 2, Tin h?c d? b?",Yes,Yes,5,Tôi th?y l? trình khi lúc ??u ???c show ra r?t t?t và không c?n s?a ??i,,"Figure 2 cho tôi th?y ???c quan tâm và l?ng nghe nh?ng n?u l??i h?c thì s? không qua môn, nên c?n th?i gian cho t?t c? nh?ng gì mình h?c",,Các l? trình trên cho bi?t m?c h?c và ???c luy?n t?p l?i,,Yes
s5,06/02/2023,18,Hochiminh city,Vietnam,4,4,5,4,4,4,4,4,5,4,4,4,3,5,4,5,5,5,4,Fulltime student,18-25,4,3,"English, IT, Programming",Yes,Yes,4,Li?t kê ??y ?? các bài h?c,,"Có quan tâm ??n l?i ích c?a m?i ng??i, h? tr? cho nh?ng ng??i có v?n ?? v? màu s?c",,"??y ??, chi ti?t v? nh?ng v?n ?? mà ng??i dùng c?n",,Yes
s6,06/02/2023,19,Hochiminh city,Vietnam,4,4,4,3,3,3,3,4,5,5,4,4,3,4,4,4,4,5,4,Fulltime student,18-25,2,2,"Ti?ng Anh h?i nh?p qu?c t?, Nh?p môn l?p trình",Yes,Yes,3,Tôi ngh? nó c?ng là m?t ý ki?n hay,,Theo tôi nên ch?nh c? ch? to lên h?n m?t tí và thay ??i màu n?n t?i t?i,,ok,,Yes
s10,06/02/2023,19,Hochiminh city,Vietnam,3,3,4,2,2,5,3,3,1,2,4,4,3,5,5,4,3,5,3,Fulltime student,Less than 18,2,4,"Tin h?c d? b?, Ti?ng Anh, B?n cung",Yes,Yes,3,"Theo tôi, vi?c làm này r?t t?t, giúp hi?u thêm các bài mà mình không bi?t làm ho?c ch?a hi?u",,"R?t t?t, nh?ng tôi có thêm m?t ý ki?n. Khi nh?ng ng??i không hi?u v? m?t v?n ?? thì các th?y cô có th? ch? l?i m?t cách nhi?t tình",,"R?t t?t, nh?ng hãy thêm nhi?u bài ví d? nh? nh?ng bài t??ng t? mà mình không hi?u",,Yes
s11,06/02/2023,18,Hochiminh city,Vietnam,4,5,4,4,4,3,3,4,5,3,4,4,3,4,4,4,4,5,4,Fulltime student,18-25,2,3,"Nh?p môn l?p trình, Tin h?c d? b?, Ti?ng Anh h?i nh?p qu?c t?",Yes,Yes,4,Tôi th?y r?t d? hi?u và phù h?p v?i mình,,Tôi th?y r?t d? hi?u và phù h?p v?i mình,,Tôi th?y r?t d? hi?u và phù h?p v?i mình,,Yes
s14,06/02/2023,19,Hochiminh city,Vietnam,5,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,5,5,Fulltime student,18-25,5,3,"Nh?p môn l?p trình, EII, Tin h?c d? b?",Yes,Yes,4,Tôi c?m th?y nó khá là h?p d?n,,Tôi c?m th?y nó khá là h?u ích,,Nó r?t là phù h?p v?i cách h?c mà tôi ?ang theo ?u?i,,Yes
s17,06/02/2023,19,Hochiminh city,Vietnam,5,5,5,4,4,4,3,4,4,5,4,4,4,3,3,4,4,4,5,Fulltime student,18-25,4,3,"Nh?p môn l?p trình, Tin h?c d? b?, Ti?ng Anh",Yes,Yes,4,Tôi c?m th?y nó khá là h?p d?n và h?u ích,,Tôi c?m th?y nó phù h?p v?i tôi,,Tôi c?m th?y nó khá là thú v?,,Yes
s23,06/02/2023,18,Hochiminh city,Vietnam,5,1,5,5,1,1,5,1,5,5,4,3,5,4,1,4,4,5,3,Fulltime student,18-25,3,4,"Nh?p môn l?p trình, Tin h?c d? b?, Ti?ng Anh h?i nh?p qu?c t? 1, Ti?ng Anh h?i nh?p qu?c t? 2",Yes,Yes,4,"Figure 1, em c?m th?y nó h?i v?n t?t và ??n ?i?u, khi?n nó khó có th? thu hút ???c s? chú ý c?a h?c sinh",,"Figure 2, em c?m th?y r?t tuy?t v?i",,"??n v?i Figure 3, em c?m th?y vi?c ?ánh giá khá t?t và hi?u qu? h?n hi?n t?i",,Yes
s25,06/02/2023,33,Hochiminh city,Vietnam,5,4,4,4,4,3,,5,4,2,5,5,5,5,5,5,5,5,5,Fulltime student,Larger than 25,2,3,"Tin h?c d? b?, Nh?p môn l?p trình, Anh v?n",Yes,Yes,5,"Giao di?n tr?c quan, giúp sinh viên h?c t?p t?t h?n",,"Giúp cho t?t c? sinh viên d? dàng s? d?ng, thi?t k? rõ ràng",,"??a ra thông tin rõ ràng, giúp cho sinh viên hoàn thi?n b?n thân trong quá trình h?c t?p",,Yes
s26,06/02/2023,19,Hochiminh city,Vietnam,1,1,1,1,3,3,1,1,1,3,2,4,4,4,5,5,4,3,3,Fulltime student,18-25,2,3,"Tin h?c d? b?, Công ngh? thông tin, Anh v?n",Yes,Yes,4,R?t hay và r?t mong ??i,,Giúp cho chúng ta có nhi?u ki?n th?c,,Nh?ng có th? nào thêm nhi?u ngôn ng? ?? cho nh?ng ng??i khác có th? bi?t và h?c ???c không?,,Yes
s30,21/02/2023,20,Hochiminh city,Vietnam,4,4,3,5,4,5,3,4,5,4,4,4,5,5,4,4,4,5,4,Fulltime student,18-25,4,2,"International Finance, Nh?p môn H? th?ng thông tin qu?n lý",Yes,Yes,4,"Rõ ràng, d? hi?u, màu s?c không b? chán",,Mong s?m có thêm nhi?u ngôn ng? ngoài ti?ng Anh và có trên ?i?n tho?i,,,,Yes
s34,21/02/2023,21,Hochiminh city,Vietnam,4,3,4,5,4,5,2,4,4,3,5,4,5,3,4,4,4,5,3,Fulltime student,18-25,1,2,"Lu?t và ??o ??c kinh doanh, Nh?p môn H? th?ng thông tin qu?n lý",Yes,Yes,5,Em th?y nó r?t m?i m? và thú v?,,R?t tuy?t ?,,"Giao di?n b?t m?t, m?i, làm em r?t h?ng thu. Nó c?ng r?t d? hi?u, d? dàng ti?p thu ki?n th?c",,Yes
s41,21/02/2023,23,Hochiminh city,Vietnam,4,4,5,4,3,5,4,4,5,5,5,5,5,5,5,5,4,4,5,Fulltime student,18-25,3,2,"Software Architechture, Web Front end",Yes,Yes,5,Hình ?nh và kích th??c ch? c?n to h?n,,C?n thêm m?t box comment ?ánh giá vì sao ?ánh sao nh? v?y,,C?n thêm bi?u ?? ?? th? hi?n m?c ?? hi?u bi?t c?a mình,,Yes
s49,21/02/2023,22,Hochiminh city,Vietnam,2,4,2,4,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,Fulltime student,18-25,3,1,Software Architechture,Yes,Yes,5,Ch?c n?ng và thi?t k? nhìn khá d? hi?u,,Nên b? sung thêm âm thanh và thi?t k? ??p h?n,,Ch?c n?ng và thi?t k? d? hi?u và c?n thi?t,,Yes
s71,06/02/2023,21,Hochiminh city,Vietnam,3,4,4,3,4,4,2,3,3,4,4,3,4,5,4,4,4,3,4,Fulltime student,18-25,3,5,"Ti?ng Anh h?i nh?p qu?c t? 1, Tin h?c d? b?, tin h?c ?ng d?ng, Tri?t h?c Mác Lênin, Kinh t? vi mô",Yes,Yes,3,"H? th?ng hi?n th? rõ ràng n?i dung, d? dàng ti?p c?n và s?p x?p th?i gian ?? hoàn thành m?c tiêu",,Ý ki?n cá nhân nên ???c th?c hi?n và thay ??i ngay l?p t?c trong quá trình h?c ch? không ph?i khóa h?c sau vì ý ki?n cá nhân ???c ??a ra ?? ti?n l?i hóa nhu c?u cá nhân ?ó,,"Có th? theo dõi và n?m ???c trình ?? b?n thân so v?i tiêu chu?n ??u ra, có th? cùng lúc cân b?ng gi?a trình ?? và ?i?m s? m?t cách t?i ?u hóa. Tính n?ng này r?t th?c t? và c?n thi?t",,Yes
s72,06/02/2023,19,Hochiminh city,Vietnam,4,3,4,4,4,4,3,4,5,5,4,4,4,5,4,4,5,5,4,Fulltime student,18-25,3,5,"Ti?ng Anh h?i nh?p qu?c t? 1, Kinh t? vi mô, Tin h?c ?ng d?ng kh?i ngành kinh t?, Tin h?c d? b?, Tri?t h?c Mác Lênin, ",Yes,Yes,4,"H? th?ng d? xài, t?t, giao di?n ??p",,"H? th?ng d? xài, t?t, giao di?n ??p",,"D? xài, t?t",,Yes
s73,06/02/2023,19,Hochiminh city,Vietnam,4,3,5,4,4,4,4,4,5,5,4,3,4,4,4,5,3,4,3,Fulltime student,18-25,2,5,"Ph??ng pháp h?c ??i h?c, T? duy ph?n bi?n, tin h?c ?ng d?ng kh?i ngành kinh t?, Marketing c?n b?n, Pháp lu?t ??i c??ng",Yes,Yes,4,Mình th?y giao di?n c?ng thân thi?n và ?a nhìn,,Mình th?y khá l??i khi h?c xong ph?i ?? l?i ôn t?p t?ng k?t,,Mình th?y d? ?? bi?t ???c trình ?? c?a b?n thân sau khi hoàn thành,,Yes
s74,06/02/2023,18,Hochiminh city,Vietnam,4,3,4,4,3,2,5,3,5,5,4,4,4,3,5,4,4,3,3,Fulltime student,18-25,4,5,"EII, Tin h?c d? b?, Kinh t? vi mô, Tri?t h?c Mác Leenin, Tin h?c ?ng d?ng kh?i ngành kinh t?",Yes,Yes,4,"Giao di?n d? nhìn, d? dàng thao tác s? d?ng",,Giao di?n d? nhìn,,H? th?ng cung c?p ??y ?? các thông tin c?n thi?t cho ng??i s? d?ng,,Yes
s77,06/02/2023,19,Hochiminh city,Vietnam,3,5,5,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,Fulltime student,18-25,3,5,"Ti?ng Anh h?i nh?p qu?c t?, Tin h?c d? b?, Tin h?c ?ng d?ng kh?i ngành kinh t?, Tri?t h?c Mác Lênin, Kinh t? vi mô",Yes,Yes,4,"Tôi th?y ph?n này khá m?i m?, d? nhìn và khá d? hi?u",,Tôi không có nh?n xét và ?? xu?t,,Tôi không có nh?n xét và ?? xu?t,,Yes
s80,06/02/2023,19,Hochiminh city,Vietnam,4,4,5,4,3,5,4,4,5,4,3,5,4,5,4,4,5,5,3,Fulltime student,18-25,3,6,"E II 1, E II 2, Marxist - Leninist Philosophy, Micro Economics, Information Technology in Business, Microsoft Office",Yes,Yes,4,Tôi th?y Figure 1 giao di?n ?ã phù h?p,,Tôi th?y nó phù h?p,,Nó phù h?p v?i tôi,,Yes
s88,06/02/2023,18,Hochiminh city,Vietnam,4,5,5,4,4,3,5,3,3,4,5,4,5,5,5,4,5,5,5,Fulltime student,18-25,5,4,"Introduction to Psychology, History of Psychology, Tin h?c d? b?, Tri?t h?c Mác Lênin",Yes,Yes,5,Clean và d? dùng nh?ng em suggest th?y nên thêm m?t d?u ch?m h?i nh? ? trên góc ?? n?u ng??i dùng không hi?u thì h?c có th? nhanh chóng nháy ho?c tr? chu?t vào d?u ?ó và tìm thông tin h? c?n ngay l?p t?c,,"H? th?ng revision khá thú v? nh?ng em ngh? th?y nên specify rõ t?ng m?c ?? s? sao t??ng ?ng (ví d? 1 sao là unsatified, 5 sao là satisfied…)",,"Ph?n này em th?y ok t?i n?u m?t ng??i lúc ??u ví d? nh? ch? có 2%, sau m?t lúc h?c và làm quay l?i th?y t?ng lên 3%, th?y ???c progress c?a mình s? giúp t?o ??ng l?c h?n. N?u có góp ý thì em ngh? nên có thêm m?t cái reward (t??ng tr?ng thôi) ho?c là m?t l?i ??ng viên, t?o ??ng l?c gì ?ó m?i l?n ng??i dùng check và % ILO t?ng",,Yes
